Modelo,Valor,Local,Ano
IPHONE 7,1000.0,FORTALEZA PARQUE MANIBURA,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA CIDADE 2000,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA PARANGABA,2016.0
IPHONE 7 PLUS,1000.0,CAUCAIA PADRE JULIO MARIA,2016.0
IPHONE 8 PLUS,1000.0,FORTALEZA GRANJA PORTUGAL,2017.0
IPHONE 7 PLUS,1000.0,PACATUBA PAVUNA,2016.0
IPHONE 8,1000.0,FORTALEZA SÃO BENTO,2017.0
IPHONE 8 PLUS,1000.0,FORTALEZA PIRAMBU,2017.0
IPHONE 7 PLUS,1000.0,EUSÉBIO COAÇU,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA JOAQUIM TÁVORA,2016.0
IPHONE 7 PLUS,1050.0,FORTALEZA CONJUNTO PALMEIRAS,2016.0
IPHONE 8 PLUS,1050.0,FORTALEZA PARANGABA,2017.0
IPHONE 8,1050.0,FORTALEZA CIDADE 2000,2017.0
IPHONE 8,1050.0,FORTALEZA PASSARÉ,2017.0
IPHONE 8,1050.0,FORTALEZA GRANJA LISBOA,2017.0
IPHONE 8,1090.0,MARACANAÚ JARÍ,2017.0
IPHONE 7 PLUS,1100.0,FORTALEZA MONTE CASTELO,2016.0
IPHONE 7 PLUS,1100.0,CAUCAIA PARQUE ALBANO (JUREMA),2016.0
IPHONE 8,1100.0,MARANGUAPE NOVO MARANGUAPE II,2017.0
IPHONE X,1100.0,FORTALEZA CRISTO REDENTOR,2017.0
IPHONE 7 PLUS,1100.0,FORTALEZA ITAOCA,2016.0
IPHONE 7 PLUS,1100.0,FORTALEZA PREFEITO JOSÉ WALTER,2016.0
IPHONE 8 PLUS,1100.0,PINDORETAMA,2017.0
IPHONE SE,1100.0,FORTALEZA GRANJA LISBOA,2020.0
IPHONE 8,1100.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 11,1100.0,FORTALEZA MESSEJANA,2019.0
IPHONE 8 PLUS,1100.0,EUSÉBIO,2017.0
IPHONE 8,1100.0,FORTALEZA PAPICU,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA CONJUNTO PALMEIRAS,2017.0
IPHONE X,1100.0,CASCAVEL,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA MARAPONGA,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA DOM LUSTOSA,2017.0
IPHONE 7 PLUS,1100.0,CAUCAIA PARQUE LEBLON,2016.0
IPHONE 7 PLUS,1100.0,FORTALEZA PARQUELÂNDIA,2016.0
IPHONE 7 PLUS,1100.0,FORTALEZA SIQUEIRA,2016.0
IPHONE 8,1100.0,FORTALEZA MONTESE,2017.0
IPHONE X,1100.0,PACAJUS,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA MARAPONGA,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA CANINDEZINHO,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA PARQUE PRESIDENTE VARGAS,2017.0
IPHONE 7 PLUS,1100.0,FORTALEZA MONDUBIM,2016.0
IPHONE 8,1150.0,FORTALEZA MANOEL SÁTIRO,2017.0
IPHONE 8,1150.0,FORTALEZA PRESIDENTE KENNEDY,2017.0
IPHONE 8 PLUS,1150.0,FORTALEZA GUARARAPES,2017.0
IPHONE 8 PLUS,1150.0,FORTALEZA MONDUBIM,2017.0
IPHONE 7 PLUS,1150.0,FORTALEZA GRANJA LISBOA,2016.0
IPHONE SE,1150.0,FORTALEZA MESSEJANA,2020.0
IPHONE 7 PLUS,1170.0,FORTALEZA MONDUBIM,2016.0
IPHONE 8,1170.0,FORTALEZA HENRIQUE JORGE,2017.0
IPHONE 8,1179.0,EUSÉBIO PIRES FAÇANHA,2017.0
IPHONE 8,1200.0,FORTALEZA DAMAS,2017.0
IPHONE 8 PLUS,1200.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2017.0
IPHONE 8,1200.0,MARACANAÚ JEREISSATI II,2017.0
IPHONE 7 PLUS,1200.0,HORIZONTE PLANALTO HORIZONTE,2016.0
IPHONE 8 PLUS,1200.0,MARACANAÚ LUZARDO VIANA,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA ALDEOTA,2017.0
IPHONE 8,1200.0,FORTALEZA PLANALTO AYRTON SENNA,2017.0
IPHONE 8 PLUS,1200.0,MARACANAÚ ALTO ALEGRE II,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA MARAPONGA,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 8,1200.0,CAUCAIA ARATURI (JUREMA),2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA PANAMERICANO,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA JÓQUEI CLUBE,2017.0
IPHONE 7 PLUS,1200.0,FORTALEZA MEIRELES,2016.0
IPHONE 8,1200.0,MARACANAÚ TIMBÓ,2017.0
IPHONE SE,1200.0,MARANGUAPE SAPUPARA,2020.0
IPHONE 8,1200.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
