Modelo,Valor,Local
7 PLUS,1300.0,FORTALEZA GUAJERU
8 PLUS,1300.0,FORTALEZA GRANJA PORTUGAL
X,1300.0,FORTALEZA GENIBAÚ
8 PLUS,1300.0,FORTALEZA VILA PERI
8 PLUS,1300.0,FORTALEZA VILA VELHA
X,1300.0,FORTALEZA ITAPERI
8 PLUS,1300.0,FORTALEZA BARRA DO CEARÁ
SE,1300.0,FORTALEZA PASSARÉ
8 PLUS,1349.0,FORTALEZA QUINTINO CUNHA
X,1350.0,FORTALEZA SÃO GERARDO
8 PLUS,1350.0,PACAJUS
X,1350.0,FORTALEZA CONJUNTO ESPERANÇA
8 PLUS,1350.0,CAUCAIA NOVO PABUSSU
8 PLUS,1350.0,FORTALEZA MEIRELES
8 PLUS,1350.0,MARACANAÚ NOVO MARACANAÚ
X,1350.0,FORTALEZA LAGOA REDONDA
X,1350.0,FORTALEZA JANGURUSSU
8 PLUS,1350.0,FORTALEZA MESSEJANA
8 PLUS,1350.0,FORTALEZA PARANGABA
8 PLUS,1350.0,FORTALEZA CENTRO
8 PLUS,1350.0,MARACANAÚ JEREISSATI I
8 PLUS,1350.0,FORTALEZA MEIRELES
X,1350.0,FORTALEZA NOVO MONDUBIM
8 PLUS,1350.0,FORTALEZA JARDIM IRACEMA
8 PLUS,1350.0,FORTALEZA PARQUE SÃO JOSÉ
X,1350.0,MARACANAÚ JEREISSATI I
X,1350.0,FORTALEZA ÁLVARO WEYNE
8 PLUS,1350.0,FORTALEZA VILA UNIÃO
X,1397.0,FORTALEZA PARANGABA
X,1399.0,FORTALEZA CENTRO
X,1399.0,FORTALEZA PARQUE DOIS IRMÃOS
8 PLUS,1399.0,FORTALEZA QUINTINO CUNHA
X,1400.0,FORTALEZA VILA VELHA
8 PLUS,1400.0,FORTALEZA CAJAZEIRAS
X,1400.0,FORTALEZA BOM JARDIM
8 PLUS,1400.0,FORTALEZA PARQUELÂNDIA
X,1400.0,FORTALEZA BARRA DO CEARÁ
8 PLUS,1400.0,FORTALEZA VILA PERI
XS,1400.0,FORTALEZA ITAOCA
8 PLUS,1400.0,ITAITINGA
8 PLUS,1400.0,FORTALEZA MONDUBIM
8 PLUS,1400.0,MARACANAÚ LUZARDO VIANA
8 PLUS,1400.0,FORTALEZA MESSEJANA
X,1400.0,FORTALEZA PRAIA DE IRACEMA
8 PLUS,1400.0,FORTALEZA JARDIM DAS OLIVEIRAS
SE,1400.0,FORTALEZA JARDIM DAS OLIVEIRAS
7 PLUS,1400.0,FORTALEZA PRESIDENTE KENNEDY
8 PLUS,1400.0,FORTALEZA MONDUBIM
8 PLUS,1400.0,FORTALEZA GENIBAÚ
X,1400.0,FORTALEZA FARIAS BRITO
X,1400.0,FORTALEZA SAPIRANGA-COITÉ
8 PLUS,1400.0,FORTALEZA JOAQUIM TÁVORA
7 PLUS,1400.0,FORTALEZA BARRA DO CEARÁ
X,1400.0,FORTALEZA CENTRO
X,1450.0,FORTALEZA CENTRO
X,1450.0,FORTALEZA PARQUE IRACEMA
8 PLUS,1450.0,FORTALEZA PARREÃO
